Cohort,0,1,2,3,4,5
2016,493790.62990000326,261076.91080000027,220404.05040000012,192248.41,148763.05000000002,51339.37999999999
2017,1.6754880794998945e6,677662.4199999967,601031.8297999996,508571.0897999998,160139.47000000012,
2018,3.944852440100322e6,1.2677210492999833e6,1.0271293903999856e6,386361.2299999991,,
2019,4.966288619300555e6,1.3362918693999646e6,513932.4602999996,,,
2020,1.1109650209100975e7,1.3348330997999862e6,,,,
2021,6.529217360600353e6,,,,,
2016,493790.62990000326,261076.91080000027,220404.05040000012,192248.41,148763.05000000002,51339.37999999999
2017,1.6754880794998945e6,677662.4199999967,601031.8297999996,508571.0897999998,160139.47000000012,
2018,3.944852440100322e6,1.2677210492999833e6,1.0271293903999856e6,386361.2299999991,,
2019,4.966288619300555e6,1.3362918693999646e6,513932.4602999996,,,
2020,1.1109650209100975e7,1.3348330997999862e6,,,,
2021,6.529217360600353e6,,,,,
2016,2425.0,673.0,676.0,623.0,546.0,184.0
2017,8899.0,2824.0,2553.0,2313.0,690.0,
2018,21029.0,5736.0,4813.0,1662.0,,
2019,28402.0,7012.0,2408.0,,,
2020,70939.0,7566.0,,,,
2021,34542.0,,,,,
2016,2425.0,673.0,676.0,623.0,546.0,184.0
2017,8899.0,2824.0,2553.0,2313.0,690.0,
2018,21029.0,5736.0,4813.0,1662.0,,
2019,28402.0,7012.0,2408.0,,,
2020,70939.0,7566.0,,,,
2021,34542.0,,,,,
2016,203.6250020206199,387.93003090638973,326.0414946745564,308.5849277688604,272.45979853479855,279.0183695652173
2017,188.27824244295925,239.9654461756362,235.4217899725811,219.87509286640716,232.08618840579726,
2018,187.5910618717163,221.0113405334699,213.4073115312665,232.46764741275518,,
2019,174.85700370750496,190.57214338276734,213.4271014534882,,,
2020,156.60849756975676,176.4252048374288,,,,
2021,189.02256269470075,,,,,
2016,246.89531495000162,130.53845540000015,110.20202520000007,96.124205,74.38152500000001,25.669689999999996
2017,220.3719688938438,89.13092463501205,79.05193079047739,66.8908443772195,21.062668683414458,
2018,231.7230051750659,74.46669697485804,60.33419821428487,22.69509104793228,,
2019,212.59797171663337,57.20427523116287,22.00053340325341,,,
2020,189.19381838015317,22.731784196454186,,,,
2021,210.17245093028885,,,,,
